ind,gu,width,length,lat,lon
492,备肺备,360,650,37.494925,126.830532
493,备肺备,360,650,37.494197,126.83103500000001
494,剧玫备,360,700,37.538828,126.884648
495,碍辑备,360,350,37.55483579999999,126.85155900000001
496,碍辑备,360,350,37.556529,126.85297800000001
497,碍辑备,360,350,37.558436,126.839371
498,碍辑备,360,350,37.558383,126.8389446
499,碍辑备,360,350,37.558383,126.83958799999999
500,碍辑备,360,350,37.557559000000005,126.84750700000001
501,碍辑备,360,350,37.557552,126.84753400000001
502,碍辑备,360,350,37.55785916,126.84776399999998
503,碍辑备,360,350,37.556971000000004,126.8482168
504,碍辑备,360,350,37.556869,126.849471
505,碍辑备,360,350,37.557069,126.84893400000001
506,碍辑备,360,350,37.555368,126.853902
507,碍辑备,360,350,37.555321,126.8538479
508,碍辑备,360,350,37.550974,126.86502800000001
509,碍辑备,360,350,37.550889,126.86516200000001
510,备肺备,360,700,37.49013677,126.83792700000001
511,备肺备,360,1400,37.49013677,126.83809299999999
512,备肺备,360,700,37.490119,126.838249
513,备肺备,360,700,37.520922,126.91790900000001
514,康殿器备,360,700,37.520697,126.91830800000001
515,备府矫,360,650,37.574383000000005,127.128425
516,备府矫,360,320,37.574413,127.12738300000001
517,备府矫,360,320,37.574484000000005,127.12728999999999
518,备府矫,360,320,37.574689,127.12597199999999
